onset	duration	acc	condition
0	0	1	NULL
2.013	0	1	Mask
4.013	0	0	TSA
6.013	0	1	Mask
8.013	0	1	TSW
10.013	0	1	TSA
12.013	0	1	Word2
14.013	0	1	TSW
16.013	0	1	NULL
18.026	0	1	TSW
20.026	0	1	NULL
30.039	0	1	TSA
32.039	0	1	NULL
36.052	0	1	TSA
38.052	0	1	NULL
46.066	0	0	RS
48.066	0	0	Word1
50.066	0	1	NULL
52.079	0	1	TSW
54.079	0	1	RS
56.079	0	1	NULL
58.092	0	1	Word2
60.092	0	1	Word1
62.092	0	1	Word2
64.092	0	1	Word2
66.092	0	1	NULL
68.105	0	1	Word2
70.105	0	1	RS
72.105	0	1	NULL
80.118	0	1	TSA
82.118	0	0	TSW
84.118	0	1	NULL
86.132	0	1	Mask
88.132	0	1	NULL
90.145	0	1	Word2
92.145	0	1	Word1
94.145	0	1	NULL
100.158	0	1	Word2
102.158	0	1	RS
104.158	0	1	NULL
110.171	0	1	Word1
112.171	0	1	TSW
114.171	0	0	RS
116.171	0	1	NULL
118.184	0	1	RS
120.184	0	1	NULL
126.198	0	0	TSW
128.198	0	1	Word1
130.198	0	1	NULL
132.211	0	1	TSA
134.211	0	1	NULL
136.224	0	1	Word2
138.224	0	1	NULL
140.237	0	1	TSW
142.237	0	1	Mask
144.237	0	1	NULL
146.251	0	1	Mask
148.251	0	1	NULL
154.264	0	1	Mask
156.264	0	1	NULL
162.277	0	1	Word1
164.277	0	1	RS
166.277	0	1	NULL
168.29	0	1	Mask
170.29	0	1	TSA
172.29	0	1	NULL
174.304	0	1	Mask
176.303	0	1	Mask
178.303	0	1	NULL
180.317	0	1	RS
182.317	0	1	NULL
184.33	0	1	RS
186.33	0	1	NULL
188.343	0	1	Word1
190.343	0	1	NULL
194.357	0	1	Mask
196.357	0	1	TSA
198.356	0	1	NULL
204.37	0	1	Mask
206.37	0	1	NULL
210.383	0	0	TSW
212.383	0	1	TSA
214.383	0	1	NULL
218.396	0	1	TSA
220.396	0	1	NULL
222.409	0	1	RS
224.409	0	1	NULL
226.423	0	1	Word1
228.423	0	1	NULL
230.436	0	1	Word1
232.436	0	1	Word2
234.436	0	1	NULL
238.449	0	1	Word1
240.449	0	1	NULL
244.462	0	1	TSA
246.462	0	1	RS
248.462	0	1	TSW
250.462	0	1	NULL
256.475	0	1	Word2
258.475	0	1	NULL
264.489	0	1	RS
266.489	0	1	Word1
268.489	0	1	Mask
270.489	0	1	NULL
280.502	0	1	RS
282.502	0	1	TSW
284.502	0	1	Word2
286.502	0	1	NULL
292.515	0	1	RS
294.515	0	1	NULL
296.528	0	1	TSW
298.528	0	1	NULL
310.541	0	1	TSW
312.541	0	1	NULL
314.555	0	1	Word1
316.554	0	1	Word2
318.554	0	1	RS
320.554	0	1	Word2
322.554	0	1	NULL
324.568	0	1	RS
326.568	0	1	RS
328.568	0	1	NULL
334.581	0	1	TSA
336.581	0	1	Word1
338.581	0	1	NULL
342.594	0	1	Word2
344.594	0	1	Word1
346.594	0	1	TSW
348.594	0	1	NULL
350.607	0	1	Word1
352.607	0	1	Word2
354.607	0	1	Word1
356.607	0	1	TSA
358.607	0	1	NULL
360.62	0	1	Word1
362.62	0	1	TSW
364.62	0	1	NULL
366.634	0	1	TSA
368.634	0	1	NULL
376.647	0	1	TSW
378.647	0	1	TSA
380.647	0	1	Mask
382.647	0	1	NULL
384.66	0	1	Mask
386.66	0	1	NULL
390.673	0	1	TSA
392.673	0	1	Mask
394.673	0	1	RS
396.673	0	0	TSW
398.673	0	1	NULL
406.686	0	1	RS
408.686	0	1	NULL
410.7	0	0	Word2
412.7	0	1	NULL
414.713	0	1	Mask
416.713	0	1	TSW
418.713	0	1	NULL
424.726	0	1	Mask
426.726	0	1	Mask
428.726	0	1	Word1
430.726	0	1	Mask
432.726	0	1	Word2
434.726	0	1	NULL
436.739	0	1	TSA
438.739	0	1	TSA
440.739	0	1	NULL
444.752	0	1	Word1
446.752	0	1	NULL
454.766	0	0	Word2
456.765	0	1	NULL
462.779	0	1	TSA
464.779	0	1	Mask
466.779	0	1	TSA
468.779	0	1	Word2
470.779	0	1	TSW
472.779	0	1	NULL
478.792	0	0	Word2
480.792	0	1	NULL
488.805	0	1	RS
490.805	0	1	NULL
492.818	0	1	Word1
494.818	0	1	NULL
498.831	0	1	TSW
